年月,最深積雪(cm),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),日平均気温0℃未満日数(日),日最高気温0℃未満日数(日),日最低気温0℃未満日数(日),降雪量合計(cm),降雪量日合計最大(cm),降雪量日合計3cm以上日数(日),降水量の合計(mm)
Jan-84,82,-4.9,-1.4,-8.8,4.5,-17.3,31,25,31,224,24,24,158
Feb-84,137,-5.4,-2.3,-8.7,2,-18.2,29,20,29,228,31,19,170
Mar-84,150,-2.4,1.5,-6.8,12.7,-15.9,26,12,30,168,24,17,117
Apr-84,87,5.2,11,0.3,20.9,-8.5,2,0,12,26,10,2,69
May-84,,13.1,19.6,7.5,25.9,1.4,0,0,0,,,,105
Jun-84,,18.8,23.7,14.9,29.9,9.4,0,0,0,,,,179
Jul-84,,21.8,26.9,18.1,32.4,13.1,0,0,0,,,,294
Aug-84,,23.5,30.2,18.7,33.3,13,0,0,0,,,,72
Sep-84,,17.1,22.1,13.2,29,4.5,0,0,0,,,,98
Oct-84,,10.8,15.9,6.3,26,-0.5,0,0,2,,,,97
Nov-84,0,4.8,11,0.2,21.1,-5.7,0,0,16,0,0,0,139
Dec-84,56,-0.2,3.8,-3.5,15.8,-7.7,18,11,27,137,20,13,148
Jan-85,71,-4.7,-1.2,-9,5.6,-18.2,31,19,31,190,24,21,109
Feb-85,71,-1.6,1.9,-5.2,8.2,-12.1,21,5,25,164,28,18,152
Mar-85,57,1.2,5.3,-2.7,14.3,-8.8,10,1,25,54,25,6,213
Apr-85,0,8.7,15.6,2.3,24.4,-6.2,0,0,4,0,0,0,106
May-85,,14.3,20.7,8.1,27.7,2.6,0,0,0,,,,227
Jun-85,,17,21.9,13.1,28.2,7.3,0,0,0,,,,326
Jul-85,,21.3,26.6,16.8,33,10.1,0,0,0,,,,613
Aug-85,,24.6,31.3,19.7,33.9,15.4,0,0,0,,,,80
Sep-85,,18,22.5,14.7,31.9,9.7,0,0,0,,,,345
Oct-85,0,11,16.6,6.8,22,0.9,0,0,0,0,0,0,117
Nov-85,14,5.2,9.9,1.6,18.8,-5.2,2,0,12,39,21,5,179
Dec-85,58,-0.9,2.9,-4.9,11.8,-14.1,20,9,25,202,38,21,170
Jan-86,74,-4.6,-0.5,-9.1,4.5,-17.3,30,18,31,207,27,24,112
Feb-86,84,-5.1,-0.7,-10.8,4.8,-18.6,27,18,28,174,25,18,84
Mar-86,94,0,4.7,-4.7,13.6,-15,13,3,28,130,26,18,110
Apr-86,13,7.1,13.6,1.5,22.7,-12.4,2,1,12,19,17,1,174
May-86,,12.8,18.9,7.2,26.8,0.6,0,0,0,,,,128
Jun-86,,17.1,22.5,12.7,27.3,6.4,0,0,0,,,,208
Jul-86,,20.2,25.2,16.7,32.6,14.3,0,0,0,,,,247
Aug-86,,22.7,28.9,18.8,32,15.4,0,0,0,,,,140
Sep-86,,18.3,24,14.1,31,7.6,0,0,0,,,,87
Oct-86,,9.9,15.8,5.3,23.2,-2.6,0,0,5,,,,69
Nov-86,0,4.8,10.8,-0.1,17.8,-5.7,3,0,17,0,0,0,39
Dec-86,15,1,5.7,-3.3,12.6,-12.9,8,2,27,78,18,9,134
Jan-87,49,-2.5,1.7,-6.7,12.4,-16.1,25,12,30,236,32,27,184
Feb-87,63,-1.8,3,-6.7,16.9,-15.1,19,10,27,211,32,22,213
Mar-87,67,1.5,6.6,-3,15.9,-11.7,13,3,27,134,21,15,151
Apr-87,0,7.6,14.9,0.8,25.5,-9,4,0,10,0,0,0,59
May-87,,13.5,20,7.1,27.6,-0.4,0,0,1,,,,137
Jun-87,,17.9,24.3,12.3,31.9,7.2,0,0,0,,,,104
Jul-87,,21.6,26.6,18,31,13.7,0,0,0,,,,150
Aug-87,,22.4,27.7,18.7,32.2,15.4,0,0,0,,,,185
Sep-87,,18,23.5,13.7,28.7,6.4,0,0,0,,,,93
Oct-87,,12.5,18.8,7.9,25,1.8,0,0,0,,,,74
Nov-87,1,5.8,11.4,1.1,17.8,-3.9,2,0,15,1,1,0,99
Dec-87,25,0.1,5.7,-4.3,16.3,-13.6,14,4,29,99,18,11,101
Jan-88,46,-1.7,3,-5.6,10.6,-12.7,24,6,30,178,31,15,142
Feb-88,59,-4.1,-0.5,-7.5,4.7,-15.7,28,16,29,163,31,19,136
Mar-88,64,0.1,4.1,-3.9,11.3,-9.7,14,2,24,166,25,20,182
