年月,最深積雪(cm),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),日平均気温0℃未満日数(日),日最高気温0℃未満日数(日),日最低気温0℃未満日数(日),降雪量合計(cm),降雪量日合計最大(cm),降雪量日合計3cm以上日数(日),降水量の合計(mm)
Jan-84,63,-4.6,-1.7,-8.4,2.9,-15.6,31,21,31,215,25,24,50
Feb-84,90,-5.2,-2.4,-9.1,0.9,-14.5,29,23,29,207,20,26,50
Mar-84,94,-2.9,0.7,-7.8,10.6,-14.4,27,13,31,162,14,20,63
Apr-84,50,5,10.2,0.2,20.5,-6,4,0,14,22,4,4,44
May-84,0,12.2,17.5,7.1,24.2,1.6,0,0,0,0,0,0,53
Jun-84,,18.4,22.5,14.5,26.9,9.9,0,0,0,,,,80
Jul-84,,22.5,26.7,18.7,31.2,14.1,0,0,0,,,,98
Aug-84,,23.3,28.7,18.2,31.8,12.6,0,0,0,,,,25
Sep-84,,16.9,21.8,12.3,26.5,4.8,0,0,0,,,,100
Oct-84,,10.5,14.8,6.2,24.4,0.1,0,0,0,,,,68
Nov-84,0,4.4,9.7,-0.2,18.2,-4.1,3,0,18,0,0,0,35
Dec-84,70,-0.7,2.4,-4.2,11.2,-16.4,17,9,26,168,31,14,96
Jan-85,55,-5.2,-2.4,-9.2,3.8,-14.9,30,25,31,161,14,24,15
Feb-85,39,-1.4,1.3,-4.9,6.5,-9.8,22,11,26,141,26,15,85
Mar-85,30,0.8,4,-2.6,8.9,-8.7,10,2,26,72,30,9,84
Apr-85,3,8.6,13.7,3.8,22.4,-2.6,0,0,2,17,5,3,106
May-85,,13.8,19.5,7.8,25.1,1,0,0,0,,,,91
Jun-85,,16.4,20.6,12.3,27.6,7.8,0,0,0,,,,145
Jul-85,,21.5,26.3,17.3,31.3,13.6,0,0,0,,,,172
Aug-85,,23.9,29.7,18.8,32.1,15.1,0,0,0,,,,33
Sep-85,,17.1,21,13.5,30.2,5.7,0,0,0,,,,260
Oct-85,,10.8,15.5,6.6,23.7,-1.4,0,0,2,,,,98
Nov-85,32,5.2,9.1,2.2,18.2,-5.5,4,0,11,111,31,17,131
Dec-85,32,-1.1,2.2,-4.9,8.4,-11.7,19,11,26,153,19,20,43
Jan-86,68,-4.3,-1.2,-8.6,5.7,-14.3,30,19,31,345,39,26,44
Feb-86,58,-4.6,-1.2,-8.9,4,-15,27,20,28,172,18,23,16
Mar-86,53,0.2,3.6,-3.3,9.9,-10.5,13,3,29,136,16,23,60
Apr-86,10,7.3,12.2,2.4,20.9,-4.4,1,0,12,59,13,11,45
May-86,,12.5,17.8,6.8,24.3,1.7,0,0,0,,,,89
Jun-86,,16.6,21.4,12.1,26.4,5.5,0,0,0,,,,111
Jul-86,,19.6,23.8,15.7,31.5,11.6,0,0,0,,,,165
Aug-86,,22.3,27.1,18.2,30.8,15.2,0,0,0,,,,142
Sep-86,,18,22.7,13.4,28.4,7,0,0,0,,,,91
Oct-86,,9.9,14.7,5.5,23,-1.7,0,0,3,,,,93
Nov-86,1,4.3,8.4,0.6,15.5,-3.4,3,0,14,2,1,0,68
Dec-86,8,1.3,4.7,-2.1,11.5,-7.6,9,4,24,32,8,5,123
Jan-87,40,-2.5,0.5,-5.6,8.5,-9.8,25,17,31,185,31,23,66
Feb-87,24,-1.9,1.5,-5.9,13.4,-12.1,22,11,27,132,14,18,38
Mar-87,20,1.6,5.7,-2.7,15.9,-8.2,12,5,23,102,16,15,86
Apr-87,0,7.3,13.9,0.9,25.1,-4.7,3,0,14,0,0,0,28
May-87,0,13.6,19.7,7.1,25.4,-0.7,0,0,1,0,0,0,85
Jun-87,,18.1,23.7,12.5,31.5,7.7,0,0,0,,,,44
Jul-87,,21.9,26.1,18.2,31.9,14.2,0,0,0,,,,210
Aug-87,,22,26.4,18.1,30.7,15.8,0,0,0,,,,88
Sep-87,,17.8,22.5,13.3,29.1,4.7,0,0,0,,,,85
Oct-87,,12.3,17.5,7.5,23.7,1.4,0,0,0,,,,49
Nov-87,1,5.5,10,1.1,18.7,-3.1,3,1,13,2,1,0,82
Dec-87,16,1,4.6,-2.6,13.8,-9.6,14,6,24,81,12,10,65
Jan-88,78,-1.3,1.9,-4.9,9.8,-13,22,12,30,246,39,17,116
Feb-88,60,-4.5,-1,-8.6,5.1,-17.5,28,21,29,199,22,22,50
Mar-88,43,0.3,3.9,-3.5,14,-9.7,13,4,26,85,11,15,66
Apr-88,0,7.3,12.5,1.9,22.5,-3.6,0,0,10,0,0,0,65
May-88,0,12.1,17.3,6.7,29.2,0,0,0,0,0,0,0,160
Jun-88,,17.7,22.1,13.7,26.1,8.2,0,0,0,,,,122
Jul-88,,18.6,22.3,15.5,26.2,10.6,0,0,0,,,,318
Aug-88,,23,27.3,19.3,30.1,13.2,0,0,0,,,,205
Sep-88,,18,21.6,14.9,25.7,11.6,0,0,0,,,,202
Oct-88,,10,14.9,5.5,19.8,0.6,0,0,0,,,,133
Nov-88,31,3,7.2,-0.7,13.7,-8.1,5,0,16,83,34,6,119
Dec-88,48,-0.3,3,-3.5,12.3,-9.4,16,5,29,164,31,20,93
Jan-89,16,0,3,-3.2,9.7,-8.1,15,4,24,70,16,10,51
Feb-89,4,-0.2,2.7,-3.3,8.5,-6.7,13,4,26,20,6,3,50
Mar-89,3,2.3,5.9,-1.1,14.8,-4.6,5,0,23,3,3,1,84
Apr-89,0,8.3,14.1,2.8,20.1,-2.6,0,0,4,0,0,0,131
May-89,0,12.8,17.7,7.6,24.1,2.8,0,0,0,0,0,0,115
Jun-89,,16.6,21,12.8,27.5,8.2,0,0,0,,,,86
Jul-89,,20.7,24.9,17,29.7,12.2,0,0,0,,,,101
Aug-89,,22.3,26.7,18.3,30.1,12.5,0,0,0,,,,164
Sep-89,,18.9,22.9,15.4,27.9,8.9,0,0,0,,,,207
Oct-89,,11.3,16.2,7,21.3,-0.3,0,0,1,,,,110
Nov-89,31,7.2,11.3,3.5,18.9,-1.4,1,0,8,40,29,3,75
Dec-89,29,0.9,3.7,-2,11.5,-7.2,10,4,26,59,18,7,73
Jan-90,21,-3.1,0.2,-6.9,7.5,-12.7,27,15,31,151,18,22,52
Feb-90,27,1.4,4.7,-1.9,11,-10.5,8,2,16,51,19,7,62
Mar-90,6,2.7,7.1,-1.5,14.6,-5.5,3,1,22,10,8,1,63
Apr-90,11,8.2,13,3.1,21.7,-3,0,0,6,12,11,1,106
