年月,最深積雪(cm),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),日平均気温0℃未満日数(日),日最高気温0℃未満日数(日),日最低気温0℃未満日数(日),降雪量合計(cm),降雪量日合計最大(cm),降雪量日合計3cm以上日数(日),降水量の合計(mm)
Jan-84,34,-6.3,-0.9,-12.1,4.7,-18.2,31,21,31,64,17,,25
Feb-84,56,-7.2,-2.1,-12.7,3.1,-19.1,29,22,29,88,25,,41
Mar-84,67,-3.6,1.8,-9.2,12.1,-14.8,28,7,30,73,25,,32
Apr-84,15,4.6,11.4,-1.3,21.5,-10.4,5,1,18,0,0,,42.5
May-84,0,11,17.8,5.1,25.6,-0.9,0,0,3,0,0,,83
Jun-84,0,16,20.6,12.7,25.5,7.4,0,0,0,0,0,,186
Jul-84,0,19.7,24.6,16.2,30.3,11,0,0,0,0,0,,116.5
Aug-84,0,20.7,27,16.1,29.2,9.2,0,0,0,0,0,,168
Sep-84,0,15.2,20.5,10.8,28.9,1.5,0,0,0,0,0,,58
Oct-84,0,8.4,14.2,3.7,21.4,-4.1,0,0,8,0,0,,88
Nov-84,4,3.1,10,-2.4,19,-8.5,4,0,23,4,4,,34
Dec-84,19,-1.5,3.9,-6.6,13.2,-13.3,19,8,28,37,16,,27
Jan-85,12,-5.8,-0.3,-10.6,5.2,-18.4,31,19,31,13,5,,3
Feb-85,41,-2.5,2.3,-6.8,9.8,-12.2,23,5,28,82,29,,78.5
Mar-85,37,-0.1,4.9,-3.7,15,-7.8,14,1,28,65,22,,98.5
Apr-85,0,6.8,13.8,0.3,21.2,-8.1,1,0,12,0,0,,107.5
May-85,0,12.4,18.9,6.6,24.8,-0.8,0,0,2,0,0,,66.5
Jun-85,0,13.9,18.8,10.1,26.4,2.4,0,0,0,0,0,,362.5
Jul-85,0,19.6,25.5,14.6,30.2,10.3,0,0,0,0,0,,179.5
Aug-85,0,21,27,16,29.8,9.5,0,0,0,0,0,,60
Sep-85,0,15.8,20.7,12.7,29.7,7.3,0,0,0,0,0,,227.5
Oct-85,0,9.1,14.9,4.1,24,-2.8,0,0,8,0,0,,60
Nov-85,0,4.3,10.2,-0.8,18.6,-7.7,6,0,20,0,0,,50
Dec-85,2,-1.7,4,-6.9,13.2,-12,21,8,28,8,3,,8
Jan-86,4,-5.6,0.5,-11.6,4.8,-16.8,31,12,31,8,4,,5.5
Feb-86,28,-5.8,1,-12.5,8.6,-16.7,27,9,28,33,18,,16.5
Mar-86,43,-0.8,5.2,-6.4,14.4,-13.4,19,1,31,95,37,,84.5
Apr-86,4,6.4,13.3,0.2,23.3,-9,1,0,14,4,4,,45
May-86,0,11,17.6,4.8,25.3,-2.4,0,0,3,0,0,,122
Jun-86,0,14.6,20.4,9.6,26.6,2.9,0,0,0,0,0,,133.5
Jul-86,0,18.2,23.2,14.9,29.7,11.4,0,0,0,0,0,,146
Aug-86,0,19.9,25.3,15.7,28.6,12.5,0,0,0,0,0,,110
Sep-86,0,16.3,21.5,12.7,28.3,5.8,0,0,0,0,0,,211
Oct-86,0,7.9,14.6,2.6,22.2,-3.8,0,0,12,0,0,,55.5
Nov-86,0,3.2,9.7,-2.7,18.5,-10.3,7,0,21,0,0,,19
Dec-86,24,-0.7,5.3,-6.2,13.5,-14.3,21,3,31,32,27,,45.5
Jan-87,11,-3.5,2.2,-9.1,9.9,-14.5,25,11,31,18,7,,22
Feb-87,20,-2.8,2.9,-8.4,16.2,-13.5,23,8,27,50,22,,35
Mar-87,16,0.5,6.5,-5.2,14.3,-12.4,13,3,29,31,11,,54.5
Apr-87,0,6.3,14.8,-1.8,24.1,-11.6,4,0,19,0,0,,17
May-87,0,12,19.1,4.9,24.6,-3.7,0,0,4,0,0,,107.5
Jun-87,0,15.6,21.8,10.1,31.1,6.3,0,0,0,0,0,,81.5
Jul-87,0,20.4,25.7,16.4,30.1,13.3,0,0,0,0,0,,167.5
Aug-87,0,20.3,25.8,16.4,30.4,14.2,0,0,0,0,0,,227.5
Sep-87,0,15.6,20.3,12,27.3,3.1,0,0,0,0,0,,118
Oct-87,0,10.9,16.9,6.1,22.6,-0.1,0,0,1,0,0,,50
Nov-87,0,4,10.2,-1.2,21.6,-6.1,3,0,21,0,0,,25.5
Dec-87,27,-0.3,5.6,-6.1,15.3,-14.3,19,4,30,56,31,,24
Jan-88,4,-1.5,4.3,-7.1,14.4,-12.7,23,5,30,5,4,,11
Feb-88,16,-4.8,1.2,-10.4,7.4,-15.5,26,12,29,22,16,,8
Mar-88,36,-0.5,5,-5.6,14.7,-14.3,20,0,30,81,34,,76
Apr-88,35,5.7,12.2,-0.3,22.5,-9.3,4,0,17,42,27,,55
May-88,0,10.7,17.8,3.8,28.1,-4,0,0,6,0,0,,130.5
Jun-88,0,15.6,21.1,11.1,27.6,3,0,0,0,0,0,,212.5
Jul-88,0,16.8,21.1,14.2,30.1,9.7,0,0,0,0,0,,142.5
Aug-88,0,20.4,25,17.4,28.6,10.5,0,0,0,0,0,,165.5
Sep-88,0,16.1,19.4,14.3,25.3,10.8,0,0,0,0,0,,275.5
Oct-88,22,8.2,14.3,3.4,20.4,-3.6,0,0,10,27,15,,53.5
Nov-88,10,2.1,8.5,-3.1,15.2,-9.1,9,1,28,14,7,,17.5
Dec-88,3,-1.4,5.5,-7.1,15.4,-10.4,22,3,31,4,3,,3.5
Jan-89,27,-1.2,4,-6.1,12.6,-14,20,4,26,31,27,,65.5
Feb-89,17,-1.5,3.9,-6.4,10.3,-12.1,20,2,26,47,17,,120
Mar-89,20,0.4,6.7,-4.6,14.4,-11.7,13,0,29,34,12,,82.5
Apr-89,5,7.1,14,0.4,20.5,-5.2,0,0,14,5,5,,94
May-89,0,10.5,16.5,4.8,22.2,-1.2,0,0,1,0,0,,176
Jun-89,0,14.2,19.2,10.1,28.1,5,0,0,0,0,0,,199
Jul-89,0,17.9,22.1,15.1,27,9.8,0,0,0,0,0,,314
Aug-89,0,20.2,24.9,16.8,29.2,14.2,0,0,0,0,0,,188
Sep-89,0,17.5,22,14.3,28.2,7.7,0,0,0,0,0,,188
Oct-89,0,9,14.8,4.4,21,-2.8,0,0,5,0,0,,109
Nov-89,0,5.2,11.4,0.4,18.7,-6.2,2,0,16,0,0,,31
Dec-89,27,-1,4.6,-5.5,16.7,-10,23,2,31,39,28,,22.5
Jan-90,14,-3.7,1.9,-9.2,10.7,-14.9,24,10,30,29,14,,37
Feb-90,42,-0.5,3.5,-4.5,14.7,-13.4,17,4,23,52,32,,88
Mar-90,4,1.3,7.9,-4.2,16.2,-9.6,10,0,26,10,4,,79.5
Apr-90,20,6.5,13,0.4,20.5,-5,1,0,13,25,20,,82
May-90,0,11.5,18.4,5.1,24.8,-1,0,0,2,0,0,,62.5
Jun-90,0,17,22.7,12.4,28.6,7.2,0,0,0,0,0,,76.5
Jul-90,0,19.7,25.5,15.8,31.3,10.7,0,0,0,0,0,,85
Aug-90,0,21.6,27.5,16.9,31.3,12.4,0,0,0,0,0,,173
Sep-90,0,17,21.9,13.1,29.2,6.8,0,0,0,0,0,,249
Oct-90,0,10.4,16,6,24.5,-1.2,0,0,3,0,0,,131
Nov-90,0,6,12.8,0.9,19.2,-4.6,2,0,12,0,0,,175.5
Dec-90,17,0.4,6.7,-5.1,18.1,-13.1,15,2,29,25,17,,28
Jan-91,33,-3.6,1.8,-8.1,7.8,-12.9,28,8,31,50,26,,27.5
Feb-91,43,-3.9,1.3,-8.9,7.6,-14.4,25,11,28,70,36,,53.5
Mar-91,22,1.5,7.4,-3,16.3,-10.4,11,1,25,43,23,,108.5
Apr-91,0,7.8,14.4,1.8,21.2,-5.2,2,0,11,0,0,,85
May-91,0,11.9,18.6,5.9,28.2,-3.3,0,0,6,0,0,,60.5
Jun-91,0,17.2,22.1,13.2,30.4,6.4,0,0,0,0,0,,145.5
Jul-91,0,19.9,24.9,16.2,30.7,13.3,0,0,0,0,0,,197
Aug-91,0,19.5,24.5,16,29.5,11.5,0,0,0,0,0,,226.5
Sep-91,0,17.1,21.6,14.2,28.6,9.5,0,0,0,0,0,,183.5
Oct-91,0,10.6,14.8,7.2,22.5,-0.2,0,0,1,0,0,,330.5
Nov-91,0,4.1,10.5,-1.1,14.8,-6.3,1,0,19,0,0,,51
Dec-91,19,-0.1,5.9,-4.8,13.5,-10.3,16,4,30,26,9,,16.5
Jan-92,18,-1.9,3.5,-7.1,7.5,-13.7,22,4,30,30,14,,25.5
Feb-92,32,-2.4,3.9,-8.9,14,-13.2,23,2,28,31,25,,14.5
Mar-92,23,1.4,7.3,-3.2,16.6,-10.4,11,2,26,51,17,,116
Apr-92,0,7,13.6,0.3,24.5,-4.3,0,0,13,0,0,,99
May-92,0,9.7,15.7,4.4,22.8,-3.1,0,0,6,0,0,,99
Jun-92,0,14.3,19.4,10.6,25.6,6.8,0,0,0,0,0,,148
Jul-92,0,19.6,26,14.9,32.3,6.8,0,0,0,0,0,,83.5
Aug-92,0,20.3,25.2,16.7,30.2,11.3,0,0,0,0,0,,67.5
Sep-92,0,15.2,21.2,10.3,30.3,1.8,0,0,0,0,0,,52
Oct-92,0,9.7,15.2,5.3,23.9,-1.7,0,0,6,0,0,,217
Nov-92,0,4.7,11,-0.9,16.3,-6.3,2,0,20,0,0,,42.5
Dec-92,4,0,5.8,-4.7,13.8,-11.3,16,2,28,8,3,,41
Jan-93,35,-2.3,2.4,-7,11,-13.3,27,4,31,64,16,,76.5
Feb-93,36,-1.6,3.8,-6.5,14.4,-11.3,21,5,26,24,12,,46
Mar-93,13,-0.2,6.6,-6.2,15.6,-10.8,20,1,31,21,12,,39
Apr-93,5,5.2,12.9,-1.7,23.3,-8.8,5,0,22,5,4,,33
May-93,1,10.9,18.3,4.1,27,-1.3,0,0,4,1,1,,107.5
Jun-93,0,15.1,20.2,11.3,28.2,5,0,0,0,0,0,,182
Jul-93,0,17.2,21.2,14.5,28.8,9.8,0,0,0,0,0,,242
Aug-93,0,18.4,23.4,15.4,28.8,11.5,0,0,0,0,0,,231
Sep-93,0,15.3,19.7,12.2,27.2,5.8,0,0,0,0,0,,237
Oct-93,0,8.8,14.9,4.5,22.4,-6,0,0,5,0,0,,123
Nov-93,0,5.5,11.8,-0.1,18.3,-7.8,2,0,17,0,0,,55.5
Dec-93,10,-0.3,5.5,-5.1,16.2,-10.3,19,3,29,22,10,,39
Jan-94,13,-3.4,2.2,-9,9.2,-14.5,28,7,31,39,12,,27.5
Feb-94,30,-3.5,2.1,-8.3,9.1,-12.8,25,7,28,53,27,,33
Mar-94,5,-0.9,5.7,-6.8,14.1,-11.8,21,0,31,2,1,,33.5
Apr-94,1,7.7,15.9,-0.6,22.5,-7.4,1,0,15,1,1,,35.5
May-94,0,12.2,19,5.9,24,-1.6,0,0,2,0,0,,66.5
Jun-94,0,15.9,21.2,11.2,29.3,5.6,0,0,0,0,0,,113
Jul-94,0,21.7,27.4,17.5,31.2,14,0,0,0,0,0,,95.5
Aug-94,0,21.9,28.1,17.3,32.4,12,0,0,0,0,0,,87
Sep-94,0,17.5,22.3,13.5,29,4.2,0,0,0,0,0,,233.5
Oct-94,0,11.9,16.9,8.1,24.2,1.7,0,0,0,0,0,,61
Nov-94,0,4.7,11.4,-0.6,19.8,-6.5,4,0,17,0,0,,22
Dec-94,3,-0.1,5.8,-5.1,15.1,-12.2,16,2,29,6,2,,12
Jan-95,11,-3.5,2.2,-8.8,9.4,-16.6,26,7,30,18,11,,33.5
Feb-95,10,-3.3,3.1,-8.7,8.5,-12.3,26,2,28,15,10,,12.5
Mar-95,22,0.2,5.9,-4.5,13.3,-11,16,3,27,74,15,,81
Apr-95,0,6.6,13.6,0.2,21.2,-8.8,1,0,15,0,0,,79
May-95,0,12.1,18.4,6.4,23.9,1.3,0,0,0,0,0,,156
Jun-95,0,14.3,18.8,11.1,23.7,2.4,0,0,0,0,0,,175
Jul-95,0,20.3,25,16.7,31.8,13.6,0,0,0,0,0,,256
Aug-95,0,22.1,28.9,17.2,32,13.8,0,0,0,0,0,,101
Sep-95,0,15,20.3,10.5,25.5,5.5,0,0,0,0,0,,175.5
Oct-95,0,10.7,16.8,5.4,24.4,-1.5,0,0,2,0,0,,48.5
Nov-95,1,2.7,9.6,-2.9,15,-7.1,3,0,27,1,1,,31.5
Dec-95,12,-2.5,3.8,-7.9,10.5,-16.5,26,3,31,16,7,,3.5
Jan-96,6,-3.1,2.7,-8.2,13.5,-15.7,26,7,30,11,5,,17.5
Feb-96,20,-4.1,2,-10.1,18.8,-18.2,25,12,28,58,12,,31.5
Mar-96,21,-0.2,6.6,-5.9,18.2,-12.8,15,2,28,39,22,,70
Apr-96,3,4.4,12.1,-2.8,25.9,-10.1,6,0,22,3,3,,38.5
May-96,0,10.8,18.2,4.5,26.3,-1,0,0,1,0,0,,86.5
Jun-96,0,16.5,22.2,12.1,28.2,4.3,0,0,0,0,0,,124.5
Jul-96,0,19.9,25.8,15.5,31.6,10.8,0,0,0,0,0,,180.5
Aug-96,0,19.4,24.8,15.7,30.2,12.4,0,0,0,0,0,,110
Sep-96,0,14.7,19.7,10.6,25.1,3,0,0,0,0,0,,229.5
Oct-96,0,9.5,15.9,4.5,23.1,-2,0,0,6,0,0,,79.5
Nov-96,2,4.8,10.5,-0.2,18.6,-6.2,2,0,17,2,2,,61
Dec-96,17,-0.4,6.3,-5.8,11.5,-10.8,17,0,30,21,16,,31.5
Jan-97,18,-3.5,2.3,-8.7,12.8,-14.5,28,5,31,38,18,,21
Feb-97,14,-3,3.8,-8.7,12.8,-14.6,24,3,28,20,8,,9.5
Mar-97,16,1.6,8.9,-5,16.7,-11.3,9,0,30,24,16,,67
Apr-97,0,7.6,14.9,1.3,24.8,-6.7,0,0,13,0,0,,64
May-97,0,12.6,19.4,6.4,28.7,-1.3,0,0,2,0,0,,109
Jun-97,0,16.2,22.1,11.6,30.1,5.2,0,0,0,0,0,,127.5
Jul-97,0,20.2,24.8,16.3,29.2,12.1,0,0,0,0,0,,113.5
Aug-97,0,20.5,26.4,16.4,30.3,11.7,0,0,0,0,0,,40.5
Sep-97,0,15.8,20.5,12.6,30.2,3.3,0,0,0,0,0,,176.5
Oct-97,0,9.4,16.9,3.1,23,-1.6,0,0,7,0,0,,5.5
Nov-97,0,5.2,11.7,-0.2,18.2,-5.8,0,0,19,0,0,,108.5
Dec-97,8,0,5.8,-4.9,13.7,-11.2,18,1,29,9,5,,26.5
Jan-98,72,-3.3,1.3,-8.1,9.3,-17.1,28,12,31,97,38,,93
Feb-98,55,-2.1,3.6,-7.5,11.3,-16.4,20,3,25,52,22,,85.5
Mar-98,41,1.3,8.6,-5.2,21.1,-11.7,15,1,27,39,20,,60
Apr-98,14,10,16,4.8,26,-8,2,1,5,17,14,,179
May-98,0,13.7,20.1,8.2,27,2,0,0,0,0,0,,137.5
Jun-98,0,15.5,20.2,11.9,27.4,3.5,0,0,0,0,0,,134.5
Jul-98,0,19.7,24.7,16.5,31,11.7,0,0,0,0,0,,69.5
Aug-98,0,20.6,25.4,17.5,29.6,13,0,0,0,0,0,,161.5
Sep-98,0,17.7,22.2,14.8,26.6,11.9,0,0,0,0,0,,248
Oct-98,0,12,17.3,8.2,25.4,1.8,0,0,0,0,0,,156
Nov-98,3,4.9,11.9,-0.7,19.7,-4.9,2,0,19,3,3,,4
Dec-98,3,0.3,6.4,-4.3,14.1,-8.4,15,1,31,3,3,,24
Jan-99,3,-3.2,3.1,-8.7,8.2,-13.1,27,6,31,10,3,,4.5
Feb-99,12,-3.3,3.3,-9.8,11.1,-16.7,25,5,28,30,9,,24
Mar-99,23,1.8,7.7,-3.7,17.1,-11,13,3,26,54,19,,102.5
Apr-99,0,6.9,13.4,1.2,21.9,-9.1,1,0,14,0,0,,119.5
May-99,0,12.4,19.2,6.1,24.9,-1.4,0,0,2,0,0,,97.5
Jun-99,0,16,21.3,11.4,26.7,2.6,0,0,0,0,0,,240.5
Jul-99,0,19.8,24.5,16.2,29.7,10.7,0,0,0,0,0,,325
Aug-99,0,21.4,26.4,17.7,29.9,15.1,0,0,0,0,0,,224.5
Sep-99,0,18.6,23.3,15.4,28,10,0,0,0,0,0,,293.5
Oct-99,0,10.6,16.5,6.2,25.3,-1.7,0,0,3,0,0,,105.5
Nov-99,0,5.1,11.8,0,17.9,-5.7,0,0,16,0,0,,34
Dec-99,2,-0.4,5.9,-5.6,11.3,-12.4,17,1,29,2,2,,0.5
Jan-00,4,-1.7,4,-6.3,10.8,-14.6,23,4,31,8,4,,24.5
Feb-00,15,-4.8,1.7,-10.8,6.5,-16,29,10,29,31,13,,12.5
Mar-00,10,-0.3,6.3,-6.1,12.4,-14.9,20,0,29,18,10,,60
Apr-00,1,6.2,12.3,0,18.6,-5.2,0,0,16,1,1,,82
May-00,0,12.9,19.4,7.8,27,0.8,0,0,0,0,0,,102
Jun-00,0,16,21.2,11.5,28,3,0,0,0,0,0,,182
Jul-00,0,20.6,26.5,16,33.1,10.6,0,0,0,0,0,,80
Aug-00,0,21.3,27.1,17.3,31.5,14.5,0,0,0,0,0,,159.5
Sep-00,0,17.2,22.2,13.4,29.9,6.6,0,0,0,0,0,,281
Oct-00,0,10.6,15.6,7,23.6,-1.6,0,0,4,0,0,,108.5
Nov-00,0,4.9,10.5,0.5,20,-4.9,3,0,13,0,0,,82.5
Dec-00,4,-0.6,6,-6.4,11.9,-11.8,18,1,31,4,4,,5
Jan-01,66,-4.8,0,-9.8,5.4,-17.9,31,16,31,110,34,,82.5
Feb-01,49,-3.3,2.8,-9,10.8,-15.7,23,7,28,11,8,,29
Mar-01,38,0.6,6.5,-5.1,15.7,-12.6,13,4,28,73,17,,97
Apr-01,12,7.3,14.7,-0.1,19.9,-10.3,1,0,16,0,0,,32
May-01,0,13,19.3,7.1,26.6,0.1,0,0,0,0,0,,155
Jun-01,0,16.5,21.5,12.4,28.1,4.4,0,0,0,0,0,,228
