年月,最深積雪(cm),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),日平均気温0℃未満日数(日),日最高気温0℃未満日数(日),日最低気温0℃未満日数(日),降雪量合計(cm),降雪量日合計最大(cm),降雪量日合計3cm以上日数(日),降水量の合計(mm)
Jan-84,,-6.4,-3.7,-8.8,3.5,-11.9,31,27,31,,,,58
Feb-84,,-7.6,-4.6,-10.2,1.1,-13.8,29,25,29,,,,72
Mar-84,,-4.3,-1.1,-7.4,8.8,-10.8,28,22,30,,,,53
Apr-84,,3.8,8.3,-0.3,16.7,-7.4,5,2,14,,,,52
May-84,,10.2,15.2,6.1,21.8,2,0,0,0,,,,95
Jun-84,,15.1,18.6,12.5,23.8,9.1,0,0,0,,,,156
Jul-84,,18.7,22.3,15.9,28.8,11.7,0,0,0,,,,273
Aug-84,,20.5,25.1,16.9,27.7,13.1,0,0,0,,,,72
Sep-84,,14.8,18.8,11.6,27.4,3.6,0,0,0,,,,111
Oct-84,,8.5,12.4,5.3,19.6,-1.1,0,0,2,,,,77
Nov-84,,4,8.6,0.6,18.4,-5.5,5,0,14,,,,48
Dec-84,,-1.4,1.8,-4.3,10.5,-10.8,18,12,25,,,,57
Jan-85,,-6.3,-3.3,-9.1,3.5,-12.3,31,24,31,,,,24
Feb-85,,-3.2,-0.4,-6.2,7,-11.1,24,12,28,,,,125
Mar-85,,-0.1,3.8,-3.3,11,-8.1,19,4,26,,,,112
Apr-85,,6.7,11.6,2.3,20.5,-5.8,1,1,5,,,,145
May-85,,12.4,17.5,7.7,22.6,2.9,0,0,0,,,,89
Jun-85,,13.6,17.3,10.6,24.9,6.4,0,0,0,,,,444
Jul-85,,19.2,23.8,15.3,28.5,11.8,0,0,0,,,,313
Aug-85,,20.5,25,17.3,28.7,14.7,0,0,0,,,,126
Sep-85,,15.3,18.7,12.7,27,8.5,0,0,0,,,,276
Oct-85,,9,13.1,5.4,22,-0.9,0,0,2,,,,101
Nov-85,,4.2,7.8,1.3,16,-4.9,4,1,15,,,,69
Dec-85,,-2.1,1.6,-5.2,10.7,-10.3,20,13,28,,,,41
Jan-86,,-6,-3,-8.8,3,-12.7,31,25,31,,,,20
Feb-86,,-6.6,-3.5,-9.5,5.7,-12.7,27,24,28,,,,40
Mar-86,,-1.5,2.4,-5.2,10.6,-10.3,20,9,30,,,,86
Apr-86,,5.7,10.1,1.5,20.2,-6.8,2,1,12,,,,142
May-86,,10.4,15.5,5.9,22.1,1.2,0,0,0,,,,149
Jun-86,,14.2,18.6,10.7,24.7,5.1,0,0,0,,,,167
Jul-86,,17.5,21,14.7,27.8,11.2,0,0,0,,,,199
Aug-86,,19.4,23.8,16.2,28,13.1,0,0,0,,,,143
Sep-86,,15.8,19.9,12.5,26.6,7.3,0,0,0,,,,249
Oct-86,,7.8,12.2,4.2,21.6,-2.1,0,0,7,,,,89
Nov-86,,3.2,7.4,-0.4,15.8,-6.2,7,0,16,,,,28
Dec-86,,-0.2,3.8,-3.4,11.1,-7.9,16,6,27,,,,60
Jan-87,,-4,-0.4,-7.5,10.1,-11.6,27,18,31,,,,55
