年月,最深積雪(cm),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),日平均気温0℃未満日数(日),日最高気温0℃未満日数(日),日最低気温0℃未満日数(日),降雪量合計(cm),降雪量日合計最大(cm),降雪量日合計3cm以上日数(日),降水量の合計(mm)
Jan-84,107,-8.7,-4.7,-15.3,1.7,-22.1,31,30,31,253,22,27,75
Feb-84,142,-9.1,-5.7,-14.7,-0.6,-26.7,29,29,29,256,33,25,132
Mar-84,148,-6.2,-1.9,-12.4,8.2,-22.1,28,21,31,183,28,27,116
Apr-84,104,3.2,8,-1.5,17,-12.7,7,2,17,59,7,11,45
May-84,0,10.2,15.5,5.1,21.4,-0.9,0,0,2,0,0,0,71
Jun-84,,15.9,20.2,12,24.6,7.4,0,0,0,,,,119
Jul-84,,19.2,23.5,15.6,26.7,10.7,0,0,0,,,,149
Aug-84,,20.1,25.1,15.2,27.4,8,0,0,0,,,,41
Sep-84,,14.2,18.3,10.5,26.4,1.4,0,0,0,,,,72
Oct-84,,7.5,11.5,3.5,19.7,-4.6,0,0,5,,,,46
Nov-84,0,2.4,7.5,-2.3,16.6,-11.1,9,1,20,0,0,0,70
Dec-84,46,-3.3,0.6,-8.7,10.5,-21,23,16,28,174,19,20,100
Jan-85,67,-8.2,-4.2,-13.9,2.4,-25.2,31,23,31,209,22,24,64
Feb-85,83,-4.4,-0.8,-8.6,7.2,-16.8,25,15,28,158,28,17,103
Mar-85,76,-1.4,2.3,-5.6,7.5,-16.2,19,7,31,94,24,9,111
Apr-85,32,6.2,11.2,0.9,18.9,-8,1,0,10,0,0,0,82
May-85,,11.5,16.8,5.5,21.5,-1.3,0,0,3,,,,44
Jun-85,,13.7,17.7,9.9,23.4,4,0,0,0,,,,319
Jul-85,,18.7,23.3,14.2,27.7,10.1,0,0,0,,,,182
Aug-85,,20.7,26,15.7,29,8.9,0,0,0,,,,111
Sep-85,,14.9,18.7,11.9,26.8,4.9,0,0,0,,,,193
Oct-85,,8.3,12.8,3.7,20,-3.6,0,0,7,,,,76
Nov-85,19,2.8,6.9,-1.2,14.7,-9.4,9,2,22,40,14,5,94
Dec-85,63,-4.1,0.4,-10.1,8.7,-19.7,23,16,31,204,29,24,96
Jan-86,68,-8.5,-3.9,-15.8,2.1,-23.9,31,25,31,185,16,30,37
Feb-86,81,-9,-4.3,-15.9,2.3,-23.7,28,25,28,170,13,26,35
Mar-86,87,-3.2,1.1,-8.8,9.5,-18.6,25,13,31,173,34,22,68
Apr-86,45,4.8,9.7,-0.8,19.9,-15.1,6,1,16,44,15,7,65
May-86,,9.5,14.8,4.2,22.8,-2.2,0,0,2,,,,98
Jun-86,,13.7,18.4,9,23.6,0.5,0,0,0,,,,87
Jul-86,,17.4,21.3,14.2,28.1,9.8,0,0,0,,,,104
Aug-86,,19.1,23.5,15.1,27.2,11.6,0,0,0,,,,47
Sep-86,,14.8,18.9,10.7,24.1,4.3,0,0,0,,,,164
Oct-86,,6.6,11.1,1.8,20.5,-4.6,1,0,16,,,,42
Nov-86,7,2.2,6.4,-2,14.7,-9,8,4,19,17,7,2,32
Dec-86,42,-1.9,2.3,-7.1,9.9,-19.3,21,13,30,109,27,13,130
Jan-87,81,-6,-1.4,-11.9,8.4,-22.7,28,20,31,203,21,25,105
Feb-87,101,-5.3,-0.6,-11.4,11.8,-23.8,25,19,28,185,31,20,93
Mar-87,92,-1.8,3,-7.1,12.8,-18.2,19,10,28,115,23,17,100
Apr-87,8,4.8,11,-1.7,21.7,-9.8,6,1,22,11,6,2,20
May-87,,10.5,16.4,4,23,-4.3,0,0,7,,,,99
Jun-87,,14.7,19.8,9.2,27.6,2.8,0,0,0,,,,92
Jul-87,,19.1,23.2,15.2,27.8,11.7,0,0,0,,,,129
Aug-87,,19.5,23.8,15.9,28.8,12.5,0,0,0,,,,102
Sep-87,,14.6,18.7,10.4,24.5,0.4,0,0,0,,,,134
Oct-87,,9.7,14.7,4.3,20.4,-0.9,0,0,2,,,,30
Nov-87,5,3.1,7.8,-1.8,18.8,-9.8,7,3,22,34,6,7,40
Dec-87,36,-2.5,2.7,-9.1,11.7,-18.9,23,10,31,156,25,24,52
Jan-88,54,-4.1,0.4,-10.2,10.7,-16.7,27,17,31,138,20,16,82
Feb-88,84,-8,-3.8,-13.6,4.6,-24.7,28,23,29,172,24,18,77
Mar-88,80,-2.8,1.1,-8.4,11.1,-22.8,25,14,31,158,31,18,82
Apr-88,57,3.7,8.7,-1.8,18.3,-13.1,5,1,18,35,17,3,47
May-88,,9.3,14.4,3.8,24.9,-2.5,0,0,3,,,,145
Jun-88,,14.5,19,10.1,23.1,2.4,0,0,0,,,,194
Jul-88,,16.7,20.1,13.8,25.4,10.1,0,0,0,,,,126
Aug-88,,19.4,23.2,16.2,26.3,10.1,0,0,0,,,,115
Sep-88,,15.3,18.2,13,23.6,8.6,0,0,0,,,,190
Oct-88,38,6.9,11.3,2.8,15.5,-4.6,2,0,12,38,26,2,47
Nov-88,19,-0.2,4.3,-5.3,11.5,-12.6,14,6,30,73,17,11,37
Dec-88,37,-3.8,1.1,-9.7,10.5,-16.8,26,16,31,153,12,28,45
Jan-89,56,-2.9,0.6,-7.1,10,-15.1,23,14,29,157,19,22,82
Feb-89,59,-3.4,0.2,-7.9,6.2,-16.3,22,11,27,135,17,22,110
Mar-89,64,-1.9,2.1,-6.4,11.1,-18,23,10,31,169,29,20,110
Apr-89,39,5.2,10.4,-0.5,17.4,-7.2,3,0,18,24,5,6,101
May-89,,9.3,14.3,3.5,20.7,-1.1,0,0,5,,,,138
Jun-89,,13.3,17.5,9.6,24.4,4.1,0,0,0,,,,102
Jul-89,,17.1,21.1,13.6,25.3,6.7,0,0,0,,,,235
Aug-89,,18.9,23,15.3,26.5,8.8,0,0,0,,,,233
Sep-89,,16.1,19.7,13.1,24,7.1,0,0,0,,,,237
Oct-89,,7.9,12.8,3.5,18.2,-3.7,0,0,8,,,,94
Nov-89,4,4,8.4,-0.3,16.9,-7.3,5,0,16,14,4,3,58
Dec-89,32,-3.1,0.9,-7.6,13.5,-15.2,28,13,30,144,15,21,52
Jan-90,89,-6.7,-2.3,-12.7,7.6,-26.5,26,19,30,224,24,26,91
Feb-90,93,-2.2,1.2,-6.4,11.6,-20,21,10,26,111,20,17,91
Mar-90,42,-1,3,-5.2,11.4,-10.3,18,6,29,105,12,18,83
Apr-90,16,4.7,10,-0.7,19.6,-8.7,3,1,18,18,17,1,94
May-90,,9.7,15,4,22.5,-1.6,0,0,5,,,,77
Jun-90,,15.8,20.3,11.1,27.2,5.3,0,0,0,,,,112
Jul-90,,18.7,23.4,14.6,27.6,10.3,0,0,0,,,,49
Aug-90,,20.1,25,15.7,27.4,10,0,0,0,,,,105
Sep-90,,15.8,19.9,11.9,26.8,5.7,0,0,0,,,,175
Oct-90,,8.9,13,4.6,20,-1.8,0,0,4,,,,143
Nov-90,6,4.8,10.1,-0.5,15.9,-8.4,3,0,19,8,7,1,102
Dec-90,61,-1.7,3,-7.2,14.7,-15.7,23,9,30,144,28,17,108
Jan-91,91,-6.2,-2.6,-11.2,6.4,-20.9,30,24,30,202,27,27,107
Feb-91,123,-7.1,-2.9,-13.8,5,-24.5,26,22,28,209,49,23,163
Mar-91,100,-1,3.3,-5,10.5,-19.1,20,9,26,133,18,19,99
Apr-91,38,5.8,11.2,0.3,18.9,-9.5,3,2,13,24,5,6,106
May-91,,10.2,15.7,4.8,25.4,-3.8,1,0,5,,,,44
Jun-91,,16,20.1,11.9,26.1,2.9,0,0,0,,,,129
Jul-91,,18.5,22.7,14.5,27.8,11.5,0,0,0,,,,172
Aug-91,,18.5,22.5,15.4,26.7,10.4,0,0,0,,,,140
Sep-91,,15.9,19.5,12.7,26.2,8.1,0,0,0,,,,173
Oct-91,,9.3,12.5,6.1,21.1,-0.6,0,0,3,,,,223
Nov-91,3,2.5,7.1,-2.2,13,-9.5,6,1,24,10,3,2,64
Dec-91,34,-1.6,2.9,-6.4,10.1,-15.6,16,12,31,133,19,22,75
Jan-92,69,-4.7,-0.2,-10.8,5.8,-23.1,30,12,31,196,21,24,84
Feb-92,97,-5.7,-1.2,-12.8,10.1,-18.8,26,18,28,195,39,26,86
Mar-92,64,-0.9,3.2,-5.4,12.8,-15.3,17,6,28,138,34,20,116
Apr-92,17,5.3,10.2,-0.1,19.4,-5.9,2,0,12,12,4,2,131
May-92,,8.2,12.8,3.5,19.2,-3.7,0,0,7,,,,93
Jun-92,,13,17.5,9.2,23.6,5.6,0,0,0,,,,116
Jul-92,,17.8,22.7,13.3,28.7,8,0,0,0,,,,223
Aug-92,,19.2,23.4,15.5,26.8,11,0,0,0,,,,54
Sep-92,,13.8,18.3,9.9,26.7,2.8,0,0,0,,,,33
Oct-92,,8.3,12.6,4.2,20.8,-4.4,0,0,2,,,,174
Nov-92,0,3.2,8.1,-2,14.4,-10.5,4,1,22,0,0,0,64
Dec-92,34,-2,1.9,-6.7,9.5,-19,21,11,27,113,23,13,96
Jan-93,56,-4.3,-0.3,-9.5,6.6,-18.7,30,17,31,170,25,26,90
Feb-93,84,-4.5,-0.1,-10.6,12,-20.8,22,14,28,200,27,23,145
Mar-93,90,-3.2,1.3,-8.9,9.9,-20.8,24,14,29,184,40,20,99
Apr-93,65,2.9,8.5,-2.9,19.4,-13.2,10,2,21,68,6,16,44
May-93,,9.4,15.3,3.4,23,-4.5,0,0,6,,,,92
Jun-93,,13.9,18.2,9.7,23.8,2.6,0,0,0,,,,124
Jul-93,,16.6,20.3,13.4,25.6,7,0,0,0,,,,149
Aug-93,,17.5,21.3,14.2,25.3,8.9,0,0,0,,,,157
Sep-93,,14,17.7,10.6,22.9,1.4,0,0,0,,,,197
Oct-93,,7.3,12.3,2.6,18.3,-8.6,0,0,8,,,,113
Nov-93,10,3.6,9.2,-2.5,17.4,-13.1,5,1,21,35,9,6,57
Dec-93,52,-2.5,1.9,-7.5,11.3,-17.6,27,10,29,154,20,19,71
Jan-94,89,-6.9,-1.8,-13.5,6.3,-22.8,30,21,31,201,19,29,52
Feb-94,114,-6.4,-2.5,-10.6,6.3,-18.2,28,19,28,181,35,21,62
Mar-94,89,-4.2,0.4,-10.6,8.1,-21.9,27,12,31,118,9,24,31
Apr-94,51,5.4,11.3,-1.1,16.2,-6.5,3,1,19,29,6,7,30
May-94,,11.1,16.9,4.9,21.5,-1.4,0,0,2,,,,80
Jun-94,,14.8,19.7,10.1,24.5,1.6,0,0,0,,,,93
Jul-94,,20.5,25.4,16.1,28.8,10.2,0,0,0,,,,46
Aug-94,,20.9,26.2,16,30.4,11.3,0,0,0,,,,59
Sep-94,,16,20.5,11.6,25.9,1.8,0,0,0,,,,209
Oct-94,,10.3,14.2,6.8,20.2,-0.6,0,0,1,,,,64
Nov-94,11,2.9,8,-2.3,16,-14,7,2,22,23,11,3,38
Dec-94,38,-2.7,2.2,-8.7,11.4,-20.8,22,12,30,99,18,10,58
Jan-95,82,-6.8,-2.6,-13.6,5.6,-25.6,29,23,31,184,22,19,87
Feb-95,99,-6.8,-2.2,-13.5,5.4,-23.3,28,22,28,108,20,9,46
Mar-95,95,-2.7,1.8,-9,10.3,-21.1,24,10,30,85,16,10,62
Apr-95,50,4.6,9.7,-0.7,17.3,-12.1,4,1,17,8,3,1,102
May-95,,10.6,15.7,5.1,21.2,-1,0,0,1,,,,106
Jun-95,,13,17.1,9.2,23.8,-0.1,0,0,1,,,,161
Jul-95,,18.5,22.6,14.9,28.8,12.4,0,0,0,,,,276
Aug-95,,20.1,25.4,15.2,29,10.7,0,0,0,,,,49
Sep-95,,13.3,17.6,8.9,23.3,3.5,0,0,0,,,,136
Oct-95,,9.2,14,4.3,21.3,-4.5,0,0,3,,,,38
Nov-95,16,0.6,5.9,-5.4,15.2,-13.6,11,3,28,34,13,4,74
Dec-95,70,-5.3,-1,-11.1,5.8,-26.4,31,16,31,108,29,11,48
Jan-96,110,-6.1,-1.7,-11.8,8.8,-25.2,29,22,30,161,26,13,87
Feb-96,122,-7.3,-2.3,-14.1,13.9,-24.7,28,19,29,145,29,15,57
Mar-96,123,-2.8,2.1,-8.8,11.6,-19.7,24,10,28,117,23,8,97
Apr-96,46,1.3,6.7,-4.8,20.9,-13.1,14,7,27,26,10,4,23
May-96,,9,14.5,2.8,21.8,-2.2,0,0,11,,,,114
Jun-96,,15.3,20.1,10.7,25.3,0.5,0,0,0,,,,151
Jul-96,,18.5,23.5,14.1,28.8,8.1,0,0,0,,,,103
Aug-96,,18.2,22.8,14,27.3,9.4,0,0,0,,,,101
Sep-96,,13.2,17.6,8.7,25.4,1.3,0,0,0,,,,145
Oct-96,,8,13.1,3,19.2,-2.9,0,0,8,,,,66
Nov-96,6,2.8,7.3,-2.2,16.6,-9.8,8,3,21,16,4,4,56
Dec-96,33,-3.1,2.3,-8.9,8,-19.7,25,8,29,74,19,8,66
Jan-97,95,-6.4,-2.3,-12.1,7.3,-22.3,30,24,31,180,24,13,71
Feb-97,119,-6.7,-1.4,-14.4,8,-24,27,16,28,144,26,12,53
Mar-97,76,-1.2,4.1,-7.5,10.2,-17.9,21,5,30,61,17,6,54
Apr-97,7,5.3,11,-0.2,20.9,-7.4,1,0,16,0,0,0,96
May-97,,11,16.4,5.4,24.7,-2.5,0,0,2,,,,129
Jun-97,,14.7,19.4,10.1,27,3.1,0,0,0,,,,99
Jul-97,,18.7,22.7,14.6,26.8,10.1,0,0,0,,,,137
Aug-97,,19.1,24.1,14.5,28.6,9.3,0,0,0,,,,67
Sep-97,,14.5,17.9,11.6,26.7,0.5,0,0,0,,,,164
Oct-97,,7.2,13.3,1.2,20.1,-4.7,0,0,13,,,,13
