年月,最深積雪(cm),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),日平均気温0℃未満日数(日),日最高気温0℃未満日数(日),日最低気温0℃未満日数(日),降雪量合計(cm),降雪量日合計最大(cm),降雪量日合計3cm以上日数(日),降水量の合計(mm)
Jan-84,270,-2,0.7,-4.9,7.9,-9.1,27,11,31,533,64,28,329
Feb-84,352,-2.5,-0.1,-5,5.1,-10.8,24,16,27,475,43,23,263
Mar-84,336,-0.1,3.6,-4,11.4,-10.6,17,4,27,377,37,27,137
Apr-84,260,6.3,11,2.3,18.8,-5.6,0,0,6,239,27,24,28
May-84,0,13.7,20.1,8.3,27.2,2.5,0,0,0,0,0,0,89
Jun-84,,21.5,25.7,17.4,30.7,12.6,0,0,0,,,,123
Jul-84,,24.9,29.4,21.3,33.4,17.7,0,0,0,,,,178
Aug-84,,26.5,31.7,21.6,35.9,16.2,0,0,0,,,,39
Sep-84,,20,24.1,16.3,32,9.1,0,0,0,,,,94
Oct-84,,13.1,17.6,9.4,28.1,1.3,0,0,0,,,,168
Nov-84,7,7.2,12,3.5,21.3,-1.4,0,0,4,7,7,1,181
Dec-84,169,1.5,4.9,-1.1,14.3,-6.3,12,7,20,283,58,13,295
Jan-85,219,-2.7,-0.4,-5.3,5.5,-12.6,27,16,31,502,62,26,248
Feb-85,195,0.2,2.9,-2.4,10.5,-7.6,15,2,23,283,31,20,187
Mar-85,163,2.6,6,-0.3,12.1,-6.1,5,0,13,251,77,18,108
Apr-85,57,10.3,15.8,4.9,25,-2.3,0,0,2,68,39,2,92
May-85,,16,21.5,10.5,26.6,5.2,0,0,0,,,,113
Jun-85,,18.7,23,14.7,29.7,10,0,0,0,,,,201
Jul-85,,23.1,27.6,18.9,34,13.4,0,0,0,,,,317
Aug-85,,26.8,32.2,21.7,34.8,17.1,0,0,0,,,,72
Sep-85,,19.6,23.4,16.6,32.9,10.4,0,0,0,,,,220
Oct-85,,13.2,17.9,9.3,28.4,1.5,0,0,0,,,,149
Nov-85,24,7.3,11.9,4,20.3,-3.4,0,0,4,39,16,4,236
Dec-85,118,0.5,4.1,-2.9,12.6,-7.4,17,6,24,452,62,27,213
