年月,最深積雪(cm),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),日平均気温0℃未満日数(日),日最高気温0℃未満日数(日),日最低気温0℃未満日数(日),降雪量合計(cm),降雪量日合計最大(cm),降雪量日合計3cm以上日数(日),降水量の合計(mm)
Jan-84,282,-3,-0.1,-5.5,3.7,-9.8,25,15,27,565,58,23,417
Feb-84,344,-3.9,-1.4,-6.3,3.4,-10.8,28,17,29,455,63,22,366
Mar-84,353,-1.2,2.1,-4.4,12.9,-9.7,22,6,28,273,43,18,160
Apr-84,258,6,11.1,2.3,20.9,-4.5,0,0,9,65,5,13,21
May-84,31,13.5,19.3,9,24.8,4.7,0,0,0,8,4,2,84
Jun-84,,20.1,24.6,16.4,29.9,11.8,0,0,0,,,,151
Jul-84,,23.4,28.5,19.9,32.8,15.4,0,0,0,,,,233
Aug-84,,25,30.7,20.6,34.5,15.6,0,0,0,,,,23
Sep-84,,18.5,22.9,15,30.4,8.6,0,0,0,,,,96
Oct-84,,11.7,16.1,8.2,25.9,2.1,0,0,0,,,,106
Nov-84,7,6,10.6,2.4,18.6,-4,0,0,6,12,6,2,127
Dec-84,232,0.8,4,-1.7,13.6,-6.5,15,6,23,498,63,19,401
Jan-85,290,-3.7,-1.1,-6.4,4.5,-12.3,30,20,31,666,71,30,397
Feb-85,243,-0.5,2.2,-3,7,-7.9,16,6,25,362,35,28,151
Mar-85,207,2.4,5.8,-0.7,14.3,-5,5,0,19,104,32,9,113
Apr-85,97,9.7,15.3,5.1,23.6,-1.9,0,0,2,0,0,0,74
May-85,,15.3,20.9,10.4,26.7,5.6,0,0,0,,,,123
Jun-85,,18,22.4,14.4,28.8,10.8,0,0,0,,,,236
Jul-85,,22.4,27.3,18.5,33.2,13.9,0,0,0,,,,380
Aug-85,,26,31.9,21.4,34.2,18,0,0,0,,,,25
Sep-85,,18.9,22.8,16.1,32.5,10.2,0,0,0,,,,218
Oct-85,0,12.2,16.5,8.6,25.2,2,0,0,0,,,,122
Nov-85,20,6.6,10.7,3.6,18.7,-1.8,0,0,4,83,19,8,217
Dec-85,151,0.1,3.4,-2.7,10,-7.2,18,8,24,475,62,27,296
Jan-86,248,-2.9,0.2,-5.8,4.8,-9.7,28,14,31,609,47,31,266
Feb-86,252,-3.3,-0.2,-6.4,4.8,-9.6,27,17,27,473,37,27,196
Mar-86,236,1.6,5.3,-1.4,13.8,-6.5,7,1,21,348,36,28,129
Apr-86,152,8.2,13.9,3.5,27.1,-4.6,1,0,9,125,27,10,72
May-86,,13.8,19.4,9,26.5,4.6,0,0,0,,,,72
Jun-86,,18.2,23.1,14.2,27.9,9.4,0,0,0,,,,125
Jul-86,,20.9,25.4,17.8,32.5,15.1,0,0,0,,,,111
Aug-86,,23.9,29.1,20.2,33.3,17,0,0,0,,,,58
Sep-86,,19.4,23.9,15.8,31.3,10.5,0,0,0,,,,169
Oct-86,,10.9,15.6,7.2,24.6,0.3,0,0,0,,,,157
Nov-86,16,6,10.5,2.4,18,-3.5,1,0,7,37,17,3,90
Dec-86,68,2,5.5,-1.2,10.7,-6.1,8,0,20,240,61,12,240
Jan-87,159,-1.4,1.8,-4.4,10.8,-9.8,22,9,30,650,71,31,299
Feb-87,178,-0.6,3.2,-3.8,13.2,-10.2,18,7,27,449,52,25,222
Mar-87,190,2.4,6.7,-1.2,15.1,-5.3,9,3,20,329,43,23,156
Apr-87,51,8.6,14.7,3.5,27.2,-5.2,1,0,6,30,23,2,37
May-87,,14.8,20.6,9.7,28,2.3,0,0,0,,,,131
Jun-87,,19.5,25.1,14.9,32.8,9.8,0,0,0,,,,80
Jul-87,,23.2,27.7,19.5,34.3,16.2,0,0,0,,,,118
Aug-87,,23.7,28.7,20.2,33,18.1,0,0,0,,,,73
Sep-87,,19,23.8,15.2,31.3,8.3,0,0,0,,,,81
Oct-87,,13.5,18,9.9,24.2,6.1,0,0,0,,,,27
Nov-87,14,6.7,11.4,2.8,20.9,-2.8,2,0,6,19,15,2,105
Dec-87,70,1,4.7,-2.1,12.1,-7.9,11,1,23,231,50,21,147
Jan-88,115,-0.4,2.9,-3.3,11.3,-6.7,19,4,29,297,68,18,246
Feb-88,214,-3,0.1,-5.6,6.9,-10.6,26,15,29,425,68,22,328
Mar-88,163,1.3,4.7,-1.9,9.9,-6.3,10,1,20,155,23,17,118
Apr-88,68,7.8,13.3,3.3,21.9,-1.9,0,0,6,26,16,3,53
May-88,,13.4,18.6,8.9,28.8,3.3,0,0,0,,,,139
Jun-88,,18.2,22.9,14.5,27.6,9.1,0,0,0,,,,183
Jul-88,,20.6,24.6,17.7,29.2,14.9,0,0,0,,,,173
Aug-88,,23.7,28.6,20.4,32.1,16.9,0,0,0,,,,105
Sep-88,,19.1,22.8,16.3,27.9,13.6,0,0,0,,,,182
Oct-88,8,10.8,15,7.1,20.4,0.9,0,0,0,21,12,2,146
Nov-88,9,3.8,8.2,0.7,15,-3.2,1,0,11,50,15,6,193
Dec-88,98,0.4,4.3,-2.5,10.6,-7.3,12,3,30,268,53,14,226
Jan-89,102,0.9,4.1,-1.9,9.6,-6.9,12,4,23,202,32,17,196
Feb-89,106,0.6,3.8,-2.5,12.7,-6.2,10,3,22,211,27,21,227
Mar-89,48,3,7.1,-0.3,18.1,-3.8,5,0,18,143,25,19,133
Apr-89,0,9.4,15.5,4.4,23.2,-0.8,0,0,2,0,0,0,124
May-89,,13.5,18.7,9.3,25.4,4.6,0,0,0,,,,115
Jun-89,,17.4,21.9,13.9,30.5,10.3,0,0,0,,,,105
Jul-89,,21.6,26.3,18.2,32,12.4,0,0,0,,,,155
Aug-89,,23,27.7,19.5,31.8,15.6,0,0,0,,,,126
Sep-89,,19.2,23.3,16.4,29.1,10.9,0,0,0,,,,226
Oct-89,,11.7,16.5,8.2,21,2.8,0,0,0,,,,115
Nov-89,0,7.8,12.4,4.4,22,-1.1,0,0,4,0,0,0,116
Dec-89,31,1.4,4.3,-1.2,14,-4.2,7,3,24,176,33,16,178
Jan-90,230,-2.2,1.1,-4.9,10.9,-9.7,25,11,30,458,84,25,386
Feb-90,142,2,5,-0.4,12.5,-6.3,7,0,16,80,7,18,88
Mar-90,54,3.3,7.4,-0.1,16.5,-5,4,0,16,105,32,11,177
Apr-90,11,9.1,14.3,4.4,23.2,-1.9,0,0,3,16,14,1,120
May-90,,13.9,19.3,9.3,28.9,3.3,0,0,0,,,,80
Jun-90,,19.8,24.3,15.9,30.7,12.1,0,0,0,,,,126
Jul-90,,22.9,27.8,19.1,32.5,14,0,0,0,,,,54
Aug-90,,24.5,30.1,20.1,34.4,15.1,0,0,0,,,,49
Sep-90,,19.6,24.2,16.3,31.3,11.9,0,0,0,,,,263
Oct-90,,13,17.1,9.7,22.6,3.6,0,0,0,,,,215
Nov-90,0,8.5,12.9,5,18.1,-2,0,0,2,0,0,0,111
Dec-90,48,2.8,6.4,-0.4,16.9,-4.6,5,0,21,144,35,12,196
Jan-91,187,-1.3,1.2,-3.8,6.6,-8.6,23,9,30,457,56,24,412
Feb-91,243,-1.9,1,-4.8,7.2,-8.1,24,12,27,362,33,20,320
Mar-91,204,2.6,6.2,-0.4,12.5,-5.3,6,2,16,132,27,16,101
Apr-91,84,9.6,15.5,4.4,24,-3.1,0,0,5,20,3,3,59
May-91,,14.4,20,9.7,29,0.2,0,0,0,,,,65
Jun-91,,19.9,24.5,16.2,30.7,11.1,0,0,0,,,,112
Jul-91,,22,26.3,18.6,33.3,15.6,0,0,0,,,,204
Aug-91,,22.4,26.9,19.1,32.6,12.9,0,0,0,,,,171
Sep-91,,19.6,23.9,16.6,31.9,11.8,0,0,0,,,,127
Oct-91,,13.2,16.1,10.6,22.1,4.5,0,0,0,,,,214
Nov-91,16,5.8,10,2.3,15.6,-4,0,0,6,28,16,3,102
Dec-91,90,2.1,5.9,-0.8,12.8,-5.1,5,3,20,226,86,14,178
Jan-92,122,-0.2,3,-2.9,6.3,-8,13,2,29,309,52,21,203
Feb-92,174,-1.1,2.4,-4.3,11.1,-8.4,23,8,27,376,54,20,244
Mar-92,131,2.9,6.7,-0.2,14,-5.4,7,0,19,155,28,21,136
Apr-92,33,9,14.6,4.5,24.5,-0.3,0,0,2,18,6,3,109
May-92,,12.5,17.5,8.2,24.9,2,0,0,0,,,,69
Jun-92,,17.4,22.3,13.4,28.8,11.1,0,0,0,,,,134
Jul-92,,22,26.9,18.5,33.8,14.5,0,0,0,,,,98
Aug-92,,23.8,29.3,19.9,33.2,15.5,0,0,0,,,,80
Sep-92,,18.2,23.1,14.5,32.1,8,0,0,0,,,,69
Oct-92,,12.4,16.9,9,24.7,2.7,0,0,0,,,,101
Nov-92,36,6.7,11.2,3,17.1,-4.3,1,1,5,49,30,4,98
Dec-92,86,2,5.2,-0.9,16.3,-6.6,10,2,19,272,61,18,253
Jan-93,105,0.1,3.1,-2.5,8.6,-6.6,14,1,28,261,45,23,185
Feb-93,194,-0.3,3.1,-3.2,11.6,-7.7,19,4,25,405,45,20,319
Mar-93,173,1.6,5.4,-1.6,13.3,-6.5,13,2,23,253,39,22,171
Apr-93,103,6.7,12.2,2.6,25.4,-4,0,0,7,90,18,13,64
May-93,,13.3,19.2,8.3,28.6,1.5,0,0,0,,,,101
Jun-93,,17.8,22.2,14.2,29.9,9,0,0,0,,,,186
Jul-93,,20.6,25,17.4,31.7,13.7,0,0,0,,,,205
Aug-93,,21,25.5,17.8,31.6,14.4,0,0,0,,,,223
Sep-93,,17.8,21.7,15.1,31.1,8.1,0,0,0,,,,148
Oct-93,,11.5,16,7.9,21.5,-0.4,0,0,1,,,,120
Nov-93,7,7.8,12.5,3.7,21,-3.1,0,0,5,14,10,1,80
Dec-93,54,1.6,5,-1.5,14.7,-5.8,8,2,24,223,33,16,184
Jan-94,155,-1.6,1.8,-4.6,6.7,-9.3,23,7,31,386,55,27,213
Feb-94,206,-1,1.7,-3.5,7.6,-6.2,17,9,28,365,44,20,263
Mar-94,177,0.6,4.2,-2.8,9.1,-6.3,14,2,27,175,22,22,65
Apr-94,102,9.4,15.8,4.5,21.8,-0.5,0,0,3,54,10,10,25
May-94,,15.3,21.2,10.2,27.1,4.7,0,0,0,,,,58
Jun-94,,18.9,24,14.7,29,9.8,0,0,0,,,,88
Jul-94,,24.7,29.7,20.8,33.6,18.1,0,0,0,,,,42
Aug-94,,25.6,31.2,21.4,36.4,17.8,0,0,0,,,,34
Sep-94,,20.1,25,16.5,31.5,10.1,0,0,0,,,,145
Oct-94,,14.5,19,11.1,27.5,4.3,0,0,0,,,,94
Nov-94,3,6.9,11.8,3.1,18.8,-2.7,0,0,6,5,5,1,79
Dec-94,81,1.3,4.4,-1.5,14.4,-9,10,4,21,211,67,11,220
Jan-95,217,-1.8,1.2,-4.6,9.5,-9,25,13,29,501,70,18,391
Feb-95,245,-1.3,1.6,-3.8,6,-6.8,23,7,28,277,31,17,228
Mar-95,244,2,6,-1.3,14.6,-6.4,7,1,21,126,27,13,142
Apr-95,123,8.4,14.1,4.1,23,-3,0,0,3,6,3,2,78
May-95,,14.5,19.8,10.1,28,5.1,0,0,0,,,,84
Jun-95,,17.1,21.5,13.7,29.6,8.6,0,0,0,,,,91
Jul-95,,21.9,26,18.8,34.6,15.9,0,0,0,,,,366
Aug-95,,24.1,29.2,20.3,33,16,0,0,0,,,,113
Sep-95,,17.2,21.6,13.9,27.7,9.3,0,0,0,,,,141
Oct-95,,13.8,18.7,10.2,24.4,2.7,0,0,0,,,,52
Nov-95,18,4.7,9.6,0.9,16.8,-2.6,0,0,6,40,16,6,135
Dec-95,96,-0.1,2.7,-2.6,8.3,-8.2,14,5,26,238,40,13,233
Jan-96,234,-1.4,1.6,-4.1,7.4,-9.1,21,8,30,396,58,17,291
Feb-96,264,-2.4,0.9,-5.6,10.8,-10,23,13,28,304,36,17,205
Mar-96,279,1.4,5.5,-2,15.9,-8.3,13,3,21,246,39,15,204
Apr-96,144,5.8,10.6,1.8,24.2,-4,3,1,10,81,36,5,62
May-96,,13.4,19.1,8.5,27.7,1.8,0,0,0,,,,116
Jun-96,,18.8,23.8,14.9,28.6,7.5,0,0,0,,,,172
Jul-96,,22.6,27.5,18.7,33.2,14,0,0,0,,,,64
Aug-96,,22.9,28.2,18.8,33.3,13.5,0,0,0,,,,77
Sep-96,,17.5,22.1,13.7,31,8.2,0,0,0,,,,180
Oct-96,,12.1,17.6,8.3,23.4,3.1,0,0,0,,,,97
Nov-96,7,6.4,10.1,2.9,18.7,-2.5,0,0,7,18,6,3,119
Dec-96,49,1.6,5.4,-1.5,12.1,-5.2,8,1,21,114,37,9,132
Jan-97,204,-1,2,-3.8,12.6,-9.2,23,9,31,407,64,17,315
Feb-97,229,-1.5,2.3,-4.7,12.1,-8.5,22,7,28,325,46,16,237
Mar-97,162,2.9,7.6,-1.2,13.2,-6.4,3,0,19,67,33,4,86
Apr-97,51,8.5,14,4.2,24.7,-1.6,0,0,1,0,0,0,121
May-97,,14.9,20.9,10.1,26.7,3.6,0,0,0,,,,152
Jun-97,,19,23.8,15.1,29.4,10.8,0,0,0,,,,121
Jul-97,,22.4,26.9,18.9,33.2,14.7,0,0,0,,,,236
Aug-97,,23.3,28.5,19.5,33.5,16,0,0,0,,,,63
Sep-97,,18.2,21.9,15.4,32,7.1,0,0,0,,,,161
Oct-97,,11.5,17.1,7.3,23.6,2.8,0,0,0,,,,42
Nov-97,0,7.8,12.4,4,17.2,-0.4,0,0,2,0,0,0,143
Dec-97,61,1.9,5.6,-1.2,12.9,-6,6,1,20,120,32,7,141
Jan-98,138,-1.3,1.7,-3.9,8,-9.3,25,8,29,365,66,25,227
Feb-98,135,0.4,4.1,-2.8,10.3,-7.7,14,4,22,165,38,11,130
Mar-98,80,3.3,7.9,-0.3,19.5,-4.5,7,0,17,160,38,15,123
Apr-98,10,12.3,17.1,8.3,27,-0.9,0,0,3,15,10,2,115
May-98,,16.5,22.1,11.5,29.2,6.7,0,0,0,,,,134
Jun-98,,18.5,22.9,15,29,9.4,0,0,0,,,,88
Jul-98,,22.9,27.6,19.3,33.6,15,0,0,0,,,,88
Aug-98,,22.6,26.8,19.9,32.6,14.9,0,0,0,,,,290
Sep-98,,20.5,25.1,17.3,31.1,14.2,0,0,0,,,,166
Oct-98,,14.8,19.2,11.5,30.4,4.7,0,0,0,,,,117
Nov-98,7,6.4,10.9,2.8,19.9,-1.4,0,0,7,9,5,2,88
Dec-98,74,2.2,5.8,-0.6,11.4,-4,1,1,19,108,47,8,152
Jan-99,192,-1.4,1.6,-4.1,7.5,-7.2,23,10,31,426,69,21,336
Feb-99,233,-1.6,2.4,-5.2,8.8,-10.4,19,5,27,301,65,19,210
Mar-99,165,3,8,-0.7,16.9,-5.7,4,1,20,126,14,18,75
Apr-99,67,8.7,14.1,4.5,21.2,-4,1,0,5,56,18,7,65
May-99,,14.5,20.3,9.3,25.7,3.8,0,0,0,,,,57
Jun-99,,18.7,23.2,14.9,30.2,8.6,0,0,0,,,,156
Jul-99,,22.6,27.2,19.2,34.6,15,0,0,0,,,,93
Aug-99,,24.9,30.5,21.1,34.6,17.6,0,0,0,,,,145
Sep-99,,21.3,26.1,17.9,29.4,12,0,0,0,,,,177
Oct-99,,13.3,18.2,9.6,28.3,1.8,0,0,0,,,,159
Nov-99,2,7.2,12.1,3.5,16.6,-1.5,0,0,2,3,3,1,118
Dec-99,60,1.1,4.2,-1.3,8.7,-6.5,11,0,23,248,25,22,216
Jan-00,99,0.4,3.8,-2.2,10.8,-7.1,12,5,22,240,57,19,161
Feb-00,205,-2.2,0.9,-4.8,5.9,-8.9,24,12,28,441,90,20,291
Mar-00,196,0.9,4.9,-2.6,12.2,-7.8,12,2,28,228,39,15,190
Apr-00,120,7.7,12.7,3.5,18.4,-0.7,0,0,1,30,4,5,65
May-00,0,15.3,21,11,29.6,4.7,0,0,0,0,0,0,50
Jun-00,,18.8,23.6,15,31.8,8.5,0,0,0,,,,159
Jul-00,,23.5,28.7,19.4,34.1,15.4,0,0,0,,,,96
Aug-00,,24.6,30.2,20.8,33.9,18.9,0,0,0,,,,70
Sep-00,,20.1,24.7,16.9,32.7,10.5,0,0,0,,,,211
Oct-00,,12.9,17,9.5,24.2,1.7,0,0,0,,,,162
Nov-00,0,6.9,11.3,3.4,20.5,-1.8,0,0,2,0,0,0,140
Dec-00,89,1,4.8,-2.2,11.5,-7.3,8,3,29,216,45,11,217
Jan-01,231,-2.5,0.2,-4.9,5.3,-10.8,26,14,31,482,51,27,380
Feb-01,231,-1.4,2.1,-4.6,10.3,-8.4,21,9,27,295,53,14,154
Mar-01,258,1.6,5.6,-1.5,15.5,-8.3,9,4,22,263,42,19,181
Apr-01,142,8.4,14.7,3.5,21.2,-2.6,0,0,4,76,10,14,26
May-01,,15.6,21.3,10.8,28,5.8,0,0,0,,,,63
Jun-01,,18.6,22.9,15,28.3,8.7,0,0,0,,,,215
Jul-01,,24.1,29.8,19.7,32.7,14.3,0,0,0,,,,80
Aug-01,,23.1,28.1,19.4,33,14.4,0,0,0,,,,110
Sep-01,,18.5,23.2,14.8,29,4.8,0,0,0,,,,114
Oct-01,,12.6,17.5,8.9,23.4,2.6,0,0,0,,,,117
Nov-01,4,6,11.1,2.1,15.8,-1.6,0,0,3,4,4,1,141
Dec-01,132,0.4,2.9,-1.7,9,-5.9,18,2,25,336,56,16,278
Jan-02,194,-0.4,2.3,-2.9,7.9,-8.3,17,5,28,330,38,23,324
Feb-02,196,0,3.5,-2.7,8.3,-7.7,13,4,23,223,37,13,112
Mar-02,144,4,9.5,-0.1,17.9,-5.7,2,0,14,105,16,17,100
